icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT
1090.000000,0.315430,-0.972168,0.247070,109.000000,0.572205,0.864029,-0.116348,109.000000,-18.673645,-1.578430,-28.978516,109.000000
1100.000000,0.318359,-0.978515,0.245117,110.000000,0.633240,0.314713,-0.177383,110.000000,-18.973648,-1.578430,-28.978516,110.000000
1110.000000,0.309570,-0.978515,0.249023,111.000000,0.450134,-0.963211,0.123978,111.000000,-19.873642,-2.478424,-29.878525,111.000000
1120.000000,0.307617,-0.959961,0.246582,112.000000,-0.095367,-0.658035,0.612259,112.000000,-19.873642,-2.778427,-29.278519,112.000000
1130.000000,0.302734,-0.971679,0.251953,113.000000,-0.339508,-1.207352,0.429153,113.000000,-19.423645,-2.778427,-29.278519,113.000000
1140.000000,0.312500,-0.970215,0.249023,114.000000,-0.278473,-0.902176,0.246048,114.000000,-18.973648,-0.828430,-28.978516,114.000000
1150.000000,0.312012,-0.955078,0.251953,115.000000,0.328064,-0.597000,0.368118,115.000000,-19.873642,-1.728424,-28.678528,115.000000
1160.000000,0.324219,-0.973144,0.252930,116.000000,0.144958,-0.474930,0.673294,116.000000,-19.873642,-3.528427,-28.978516,116.000000
1170.000000,0.318848,-0.963379,0.256836,117.000000,0.572205,-0.535965,0.185013,117.000000,-19.273636,-3.528427,-28.978516,117.000000
1180.000000,0.325684,-0.968261,0.250977,118.000000,0.938416,-0.047684,0.001907,118.000000,-19.273636,-1.728424,-28.678528,118.000000
1190.000000,0.311523,-0.967285,0.254883,119.000000,0.694275,0.558853,0.246048,119.000000,-19.273636,-1.728424,-29.428528,119.000000
1200.000000,0.325195,-0.967773,0.253906,120.000000,0.389099,1.352310,0.123978,120.000000,-19.873642,-1.728424,-29.428528,120.000000
1210.000000,0.310547,-0.958984,0.242676,121.000000,0.877380,1.169205,-0.238419,121.000000,-19.123642,-4.128418,-30.028519,121.000000
1220.000000,0.310547,-0.971191,0.250000,122.000000,0.572205,1.230240,0.062943,122.000000,-19.123642,-0.828430,-28.528519,122.000000
1230.000000,0.293945,-0.982910,0.252441,123.000000,0.755310,0.680923,0.612259,123.000000,-18.523636,-0.828430,-28.528519,123.000000
1240.000000,0.310059,-0.958008,0.257324,124.000000,1.182556,-0.963211,0.246048,124.000000,-18.523636,-3.228424,-30.478516,124.000000
1250.000000,0.309570,-0.981933,0.246094,125.000000,0.267029,-0.902176,0.551224,125.000000,-19.873642,-3.228424,-30.478516,125.000000
